speaker_slug,speaker_name,profile_path,profile_status,source_status,reference_review_status,source_audio,source_url,reference_audio,reference_exists,reference_duration_seconds,max_reference_seconds,declared_reference_duration_seconds,declared_duration_delta_seconds,reference_sha_status,reference_sha256,actual_reference_sha256,reference_text_word_count,risk_flags,warnings,profile_gate
daniel_a_friedman,Daniel A. Friedman,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\daniel_a_friedman.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/daniel_a_friedman/yHnm-zMqLvY.webm,https://www.youtube.com/watch?v=yHnm-zMqLvY,AudioTranscription/references/daniel_a_friedman/daniel_a_friedman_youtube_yHnm-zMqLvY_ref_v2.wav,yes,9.760,11.500,9.76,0.000,ok,53342F02624C979210A8485CAF36C3D7B3A0C8B7EF44B43EB2C14FCFCD0C3E74,53342F02624C979210A8485CAF36C3D7B3A0C8B7EF44B43EB2C14FCFCD0C3E74,27,,source_audio_missing,warn
daniel_dennett,Daniel Dennett,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\daniel_dennett.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed_needs_listening_review,AudioTranscription/sources/raw/daniel_dennett/KOApAHhKCxQ.webm,https://www.youtube.com/watch?v=KOApAHhKCxQ,AudioTranscription/references/daniel_dennett/daniel_dennett_youtube_KOApAHhKCxQ_ref_v3.wav,yes,8.450,11.500,8.45,0.000,ok,0E943FFACCFC9C5E4CBE49A30C33B50093B23BB53371DDCF001607B8ADA4B940,0E943FFACCFC9C5E4CBE49A30C33B50093B23BB53371DDCF001607B8ADA4B940,24,,source_audio_missing,warn
david_b_yaden,David B. Yaden,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\david_b_yaden.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/david_b_yaden/XMQ9eUFj97U.webm,https://www.youtube.com/watch?v=XMQ9eUFj97U,AudioTranscription/references/david_b_yaden/david_b_yaden_youtube_XMQ9eUFj97U_ref_v2.wav,yes,10.480,11.500,10.48,0.000,ok,7A1450689EF575D3277828EEE5B6116A01BEB92800214AE35279C4F66B016246,7A1450689EF575D3277828EEE5B6116A01BEB92800214AE35279C4F66B016246,22,,source_audio_missing,warn
david_e_nichols,David E. Nichols,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\david_e_nichols.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/david_e_nichols/RlDCM5JQzRk.webm,https://www.youtube.com/watch?v=RlDCM5JQzRk,AudioTranscription/references/david_e_nichols/david_e_nichols_youtube_RlDCM5JQzRk_ref_v2.wav,yes,10.150,11.500,10.15,0.000,ok,6EBA7C20C766EE47F26D5686A43AFAFAB4D12A5F5C23DE666CD73EA6E2FCC051,6EBA7C20C766EE47F26D5686A43AFAFAB4D12A5F5C23DE666CD73EA6E2FCC051,39,,source_audio_missing,warn
david_e_olson,David E. Olson,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\david_e_olson.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/david_e_olson/3wmfVcvZn_0.webm,https://www.youtube.com/watch?v=3wmfVcvZn_0,AudioTranscription/references/david_e_olson/david_e_olson_youtube_3wmfVcvZn_0_ref_v3.wav,yes,6.800,11.500,6.8,0.000,ok,0736EDDC00FF70735ADA0FC24A6A243D4D2BF34FFF979243627905FBA1713AE5,0736EDDC00FF70735ADA0FC24A6A243D4D2BF34FFF979243627905FBA1713AE5,19,,source_audio_missing,warn
edvard_aviles,Edvard Aviles,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\edvard_aviles.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/edvard_aviles/edvard_aviles_educast_segment_900s.m4a,https://educast.pucp.edu.pe/video/7763/xii_simposio_de_estudiantes_de_filosofia_de_la_pucp__parte_4,AudioTranscription/references/edvard_aviles/edvard_aviles_educast_segment_900s_ref_v3.wav,yes,9.800,11.500,9.800042,0.000,ok,4EAF5EEF09059122CB9AD9F2E38CF7735CD18C1D0535FA1795E3D3B5E1FED989,4EAF5EEF09059122CB9AD9F2E38CF7735CD18C1D0535FA1795E3D3B5E1FED989,17,,source_audio_missing,warn
frederique_de_vignemont,Frederique de Vignemont,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\frederique_de_vignemont.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/frederique_de_vignemont/W8IZ9Q1Ihe4.m4a,https://www.youtube.com/watch?v=W8IZ9Q1Ihe4,AudioTranscription/references/frederique_de_vignemont/frederique_de_vignemont_youtube_W8IZ9Q1Ihe4_ref_v2.wav,yes,11.200,11.500,11.2,0.000,ok,1ADCD0516BC79AD0813C8F9B4ED80B1E2710426A5F0B26E7F1F60125A71E8FA1,1ADCD0516BC79AD0813C8F9B4ED80B1E2710426A5F0B26E7F1F60125A71E8FA1,26,,source_audio_missing,warn
george_fejer,George Fejer,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\george_fejer.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/george_fejer/Qm-lmC-xYCI.webm,https://www.youtube.com/watch?v=Qm-lmC-xYCI,AudioTranscription/references/george_fejer/george_fejer_youtube_Qm-lmC-xYCI_ref_v2.wav,yes,10.870,11.500,10.87,0.000,ok,D8BC9A85CA68952D76CF7574925B5DDFA7AE78B689865F77DBD38F9FB7B39EE8,D8BC9A85CA68952D76CF7574925B5DDFA7AE78B689865F77DBD38F9FB7B39EE8,21,,,pass
guillaume_dumas,Guillaume Dumas,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\guillaume_dumas.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/guillaume_dumas/bZdhwsRoz54.webm,https://www.youtube.com/watch?v=bZdhwsRoz54,AudioTranscription/references/guillaume_dumas/guillaume_dumas_youtube_bZdhwsRoz54_ref_v2.wav,yes,9.200,11.500,9.2,0.000,ok,E385B856C08270AD84D46858D86FE4A44A3348EE1B12F252AC34E9A4C087B60E,E385B856C08270AD84D46858D86FE4A44A3348EE1B12F252AC34E9A4C087B60E,22,,source_audio_missing,warn
jakob_hohwy,Jakob Hohwy,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\jakob_hohwy.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed_needs_listening_review,AudioTranscription/sources/raw/jakob_hohwy/rW3zKigrTD0.webm,https://www.youtube.com/watch?v=rW3zKigrTD0,AudioTranscription/references/jakob_hohwy/jakob_hohwy_youtube_rW3zKigrTD0_ref_v2.wav,yes,6.400,11.500,6.4,0.000,ok,EBBD51D20A47E223A3E686C830C5398A02C0802BEE4D12057946315474CA8264,EBBD51D20A47E223A3E686C830C5398A02C0802BEE4D12057946315474CA8264,23,,source_audio_missing,warn
